item_id,item_name,trade,comments
523028070512,法国代购直邮/伴宝乐Babybio Primea 2段标准有机奶粉/6-12月,0,9
523988154375,海外直邮法国代购babybio伴宝乐有机奶粉 二段900g标准型罐装包邮,0,1
524439348188,法国妹妹直邮 Babybio伴宝乐Primea2段标准有机奶粉 6-12月,6,2
521731902350,Babybio伴宝乐PRIMEA 2段标准型有机奶粉法国直邮4罐包邮包税另算,25,74
548173880877,现货!法国代购Babybio PRIMEA伴宝乐有机奶粉标准型2段奶粉,1,1
544134866886,【法国直邮】伴宝乐/Babybio primea2段标准有机奶粉6-12月/900g,20,18
536209236981,Babybio伴宝乐OPTIMA RELAIS 2 标准型有机奶粉2段/4罐法国直邮,0,6
37441287088,Babybio伴宝乐Croissance 3段有机奶粉/法国直邮4罐包邮/包税另算,801,2087
520351817438,法国直邮babybio伴宝乐 2段（6-12月）标准型奶粉900克6罐包税邮,0,8
540414019646,法国直邮 babybio 伴宝乐 2段 标准型奶粉 有机配方900克,0,19
532028705489,法国进口包邮包税Babybio伴宝乐Croissance3段绿色有机奶粉三段,303,481
521731902350,Babybio伴宝乐PRIMEA 2段标准型有机奶粉法国直邮4罐包邮包税另算,25,74
552136987896,法国进口包邮包税Babybio伴宝乐PRIMEA2段标准有机奶粉婴幼儿宝宝,14,1
548869276164,法国Babybio伴宝乐PRIMEA 2段标准型天然有机婴儿奶粉6罐直邮包税,0,0
26728528044,法国直邮6罐包邮babybio伴宝乐2段optima有机天然标准奶粉6-10月,0,0
521081384588,法国直邮代购 babybio伴宝乐有机二段奶粉 标准版2段  900g,0,1
546661686543,法国代购直邮/包税 伴宝乐Babybio2段标准有机奶粉6-12月900g罐装,0,0
542257849819,法国直邮 法国Babybio伴宝乐标准型有机奶粉2段900g6罐包邮,0,1
15128202752,4罐直邮包邮  伴宝乐BABYBIO婴幼儿有机奶粉2段 标准版法国代购,0,0
552343739685,【法国直邮】伴宝乐Babybio 2段高端标准有机奶粉/6-12个月/900g,-,0
43690892190,法国代购直邮伴宝乐babybio 2段标准配方有机奶粉6罐包邮900g,0,0
45387594005,【定购】法国代购babybio伴宝乐有机奶粉2段标准型900克6个直邮,0,3
523224467099,【6桶直邮】法国伴宝乐babybio有机婴儿奶粉标准2段6-12个月900g,0,0
550067371657,【法国直邮】伴宝乐/Babybio primea2段标准有机奶粉6-12月 900g,0,0
551518131088,Babybio伴宝乐OPTIMA标准2段有机奶粉/法国直邮6罐EMS包邮,0,0
544500592907,[法国原装] Babybio伴宝乐标准配方有机奶粉2段 900G,-,0
537396024750,法国直邮包邮 Babybio 伴宝乐标准型有机奶粉2段/ 6-18月/900g,0,0
538239850849,babybio伴宝乐2段二段PRIEMA 6-12月标准配方型婴儿有机牛奶粉,0,1
553411109694,法国Babybio伴宝乐有机奶粉2段标准二段 6－12个月宝宝,0,0
545641093932,法国伴宝乐BabyBio 2段标准有机奶粉900克/6罐法国直邮/高端有机,0,1
551960019798,{M豆法国}伴宝乐babybio有机2段成长标准型奶粉 900g*6桶一箱直邮,0,0
547317174639,法国Babybio伴宝乐2段标准型有机婴儿奶粉6-12个月4罐包税直邮,0,0
548714541378,法国代购伴宝乐/BABYBIO 二段标准婴儿奶粉6-12月 900克,0,0
527209725901,法国代购直邮 Babybio伴宝乐PRIMEA有机2段标准配方奶粉 900g6-12,0,1
550213130510,法国直邮原装伴宝乐BABYBIO2段PRIMEA标准配方婴幼儿牛奶粉900g,0,1
553557222493,法国直邮 Babybio伴宝乐有机婴儿奶粉2段 新生儿 成长标准型900g,0,0
45408243853,【法国直邮】 babybio 伴宝乐 bio标准2段奶粉 新配方,0,0
525707786802,法国代购6罐直邮/原装伴宝乐babybio高端有机奶粉2段 标准型配方,0,2
